start_date,num_trips
2014-07-01,1004
2014-07-02,1042
2014-07-03,846
2014-07-04,278
2014-07-05,297
2014-07-06,244
2014-07-07,1000
2014-07-08,1005
2014-07-09,1117
2014-07-10,1031
2014-07-11,891
2014-07-12,288
2014-07-13,301
2014-07-14,1005
2014-07-15,1070
2014-07-16,1089
2014-07-17,1118
2014-07-18,954
2014-07-19,314
2014-07-20,273
2014-07-21,985
2014-07-22,1117
2014-07-23,1134
2014-07-24,1088
2014-07-25,997
2014-07-26,372
2014-07-27,337
2014-07-28,1075
2014-07-29,1120
2014-07-30,1131
2014-07-31,1058
2014-08-01,949
2014-08-02,305
2014-08-03,232
2014-08-04,990
2014-08-05,1099
2014-08-06,1064
2014-08-07,1060
2014-08-08,968
2014-08-09,276
2014-08-10,328
2014-08-11,1034
2014-08-12,1156
2014-08-13,1058
2014-08-14,1070
2014-08-15,968
2014-08-16,323
2014-08-17,271
2014-08-18,1078
2014-08-19,1056
2014-08-20,1113
2014-08-21,1132
2014-08-22,1018
2014-08-23,352
2014-08-24,239
2014-08-25,1192
2014-08-26,1258
2014-08-27,1247
2014-08-28,1146
2014-08-29,1050
2014-08-30,360
2014-08-31,317
2014-09-01,271
2014-09-02,1109
2014-09-03,1186
2014-09-04,1199
2014-09-05,1069
2014-09-06,338
2014-09-07,229
2014-09-08,1094
2014-09-09,1143
2014-09-10,1133
2014-09-11,1153
2014-09-12,1112
2014-09-13,445
2014-09-14,323
2014-09-15,1269
2014-09-16,1219
2014-09-17,1194
2014-09-18,1003
2014-09-19,1043
2014-09-20,323
2014-09-21,245
2014-09-22,1129
2014-09-23,1144
2014-09-24,1105
2014-09-25,991
2014-09-26,1044
2014-09-27,369
2014-09-28,269
2014-09-29,1134
2014-09-30,1117
2014-10-01,1205
2014-10-02,1232
2014-10-03,1022
2014-10-04,315
2014-10-05,204
2014-10-06,985
2014-10-07,1079
2014-10-08,1186
2014-10-09,1115
2014-10-10,1096
2014-10-11,418
2014-10-12,334
2014-10-13,1089
2014-10-14,1292
2014-10-15,1179
2014-10-16,1269
2014-10-17,1085
2014-10-18,369
2014-10-19,319
2014-10-20,1089
2014-10-21,1202
2014-10-22,1118
2014-10-23,1192
2014-10-24,1233
2014-10-25,312
2014-10-26,345
2014-10-27,1217
2014-10-28,1199
2014-10-29,1309
2014-10-30,1206
2014-10-31,722
2014-11-01,297
2014-11-02,271
2014-11-03,1135
2014-11-04,1128
2014-11-05,1187
2014-11-06,1189
2014-11-07,1130
2014-11-08,372
2014-11-09,258
2014-11-10,1111
2014-11-11,1058
2014-11-12,1165
2014-11-13,982
2014-11-14,1053
2014-11-15,286
2014-11-16,200
2014-11-17,1145
2014-11-18,1111
2014-11-19,770
2014-11-20,757
2014-11-21,1043
2014-11-22,276
2014-11-23,186
2014-11-24,1120
2014-11-25,998
2014-11-26,662
2014-11-27,86
2014-11-28,215
2014-11-29,223
2014-11-30,95
2014-12-01,1018
2014-12-02,431
2014-12-03,725
2014-12-04,972
2014-12-05,837
2014-12-06,329
2014-12-07,229
2014-12-08,1165
2014-12-09,1138
2014-12-10,1132
2014-12-11,88
2014-12-12,534
2014-12-13,304
2014-12-14,212
2014-12-15,535
2014-12-16,633
2014-12-17,686
2014-12-18,992
2014-12-19,461
2014-12-20,272
2014-12-21,202
2014-12-22,881
2014-12-23,698
2014-12-24,260
2014-12-25,104
2014-12-26,263
2014-12-27,183
2014-12-28,216
2014-12-29,550
2014-12-30,432
2014-12-31,303
2015-01-01,129
2015-01-02,341
2015-01-03,214
2015-01-04,156
2015-01-05,1056
2015-01-06,1089
2015-01-07,1144
2015-01-08,1113
2015-01-09,1019
2015-01-10,268
2015-01-11,250
2015-01-12,1176
2015-01-13,1179
2015-01-14,1135
2015-01-15,1069
2015-01-16,932
2015-01-17,250
2015-01-18,202
2015-01-19,535
2015-01-20,1071
2015-01-21,1162
2015-01-22,1054
2015-01-23,1004
2015-01-24,313
2015-01-25,194
2015-01-26,1053
2015-01-27,1080
2015-01-28,1151
2015-01-29,1121
2015-01-30,1019
2015-01-31,293
2015-02-01,201
2015-02-02,1146
2015-02-03,1165
2015-02-04,1201
2015-02-05,1093
2015-02-06,539
2015-02-07,277
2015-02-08,111
2015-02-09,1093
2015-02-10,1205
2015-02-11,1163
2015-02-12,1122
2015-02-13,1095
2015-02-14,403
2015-02-15,274
2015-02-16,437
2015-02-17,1098
2015-02-18,1055
2015-02-19,1011
2015-02-20,906
2015-02-21,249
2015-02-22,201
2015-02-23,1105
2015-02-24,1017
2015-02-25,1054
2015-02-26,1078
2015-02-27,938
2015-02-28,272
2015-03-01,247
2015-03-02,1068
2015-03-03,1128
2015-03-04,1104
2015-03-05,1065
2015-03-06,1064
2015-03-07,272
2015-03-08,284
2015-03-09,887
2015-03-10,1026
2015-03-11,1071
2015-03-12,1129
